recipeName,description,ingredients,instructions
Spicy Chickpea Curry,"A hearty, flavorful curry with tender chickpeas simmered in a spicy coconut sauce.","chickpeas, onion, garlic, tomato, curry powder, coconut milk, cilantro, olive oil, salt",1. Sauté onion and garlic in olive oil. 2. Add curry powder and tomatoes. 3. Stir in chickpeas and coconut milk. 4. Simmer for 20 minutes. 5. Garnish with cilantro and serve.
Classic Pancakes,"Fluffy, golden-brown pancakes perfect for a weekend breakfast.","flour, baking powder, sugar, salt, milk, egg, butter",1. Mix dry ingredients. 2. Whisk in milk and egg. 3. Fold in melted butter. 4. Cook on griddle until golden.
Caprese Salad,A fresh Italian salad with juicy tomatoes and creamy mozzarella.,"tomatoes, mozzarella, fresh basil, olive oil, balsamic glaze, salt, pepper",1. Slice tomatoes and mozzarella. 2. Layer with basil. 3. Drizzle with olive oil and balsamic glaze. 4. Season with salt and pepper.
Garlic Butter Shrimp,"Juicy shrimp sautéed in rich garlic butter sauce, ready in minutes.","shrimp, garlic, butter, lemon, parsley, salt, pepper",1. Melt butter in skillet. 2. Add garlic and cook until fragrant. 3. Add shrimp and cook until pink. 4. Squeeze lemon juice and sprinkle parsley before serving.
Chocolate Mug Cake,"A quick, decadent chocolate cake made in the microwave.","flour, cocoa powder, sugar, milk, oil, baking powder, chocolate chips, vanilla extract",1. Mix dry ingredients in a mug. 2. Add wet ingredients and stir. 3. Fold in chocolate chips. 4. Microwave for 1–2 minutes.
Veggie Stir Fry,Colorful vegetables quickly stir-fried in a savory sauce.,"broccoli, bell pepper, carrot, snap peas, soy sauce, garlic, ginger, sesame oil",1. Heat sesame oil in wok. 2. Add garlic and ginger. 3. Toss in vegetables. 4. Add soy sauce and cook until tender-crisp.
Avocado Toast,Simple yet delicious avocado toast with a hint of spice.,"bread, avocado, lemon juice, chili flakes, salt, pepper","1. Toast bread. 2. Mash avocado with lemon juice. 3. Spread on toast. 4. Sprinkle chili flakes, salt, and pepper."
Banana Smoothie,Creamy and naturally sweet banana smoothie for a quick breakfast.,"banana, milk, yogurt, honey, cinnamon, ice",1. Combine all ingredients in blender. 2. Blend until smooth. 3. Pour into glass and serve.
Tomato Basil Pasta,A light and fresh pasta dish perfect for summer.,"pasta, cherry tomatoes, garlic, fresh basil, olive oil, parmesan, salt, pepper",1. Cook pasta. 2. Sauté garlic and tomatoes in olive oil. 3. Toss with pasta and basil. 4. Top with parmesan.
Berry Parfait,"Layers of creamy yogurt, sweet berries, and crunchy granola.","greek yogurt, mixed berries, granola, honey, mint","1. Layer yogurt, berries, and granola in glass. 2. Drizzle honey. 3. Garnish with mint leaves."
